value,area,urban,gender
31,Ямало-Ненецкий автономный округ,Сельское население,Мужчины
30,Ямало-Ненецкий автономный округ,Сельское население,Женщины
671,Челябинская область,Городское и сельское население,Оба пола
341,Челябинская область,Городское и сельское население,Мужчины
330,Челябинская область,Городское и сельское население,Женщины
507,Челябинская область,Городское население,Оба пола
254,Челябинская область,Городское население,Мужчины
253,Челябинская область,Городское население,Женщины
164,Челябинская область,Сельское население,Оба пола
87,Челябинская область,Сельское население,Мужчины
77,Челябинская область,Сельское население,Женщины
4808,Сибирский федеральный округ,Городское и сельское население,Оба пола
2396,Сибирский федеральный округ,Городское и сельское население,Мужчины
2412,Сибирский федеральный округ,Городское и сельское население,Женщины
3124,Сибирский федеральный округ,Городское население,Оба пола
1546,Сибирский федеральный округ,Городское население,Мужчины
1578,Сибирский федеральный округ,Городское население,Женщины
1684,Сибирский федеральный округ,Сельское население,Оба пола
850,Сибирский федеральный округ,Сельское население,Мужчины
834,Сибирский федеральный округ,Сельское население,Женщины
100,Республика Алтай,Городское и сельское население,Оба пола
52,Республика Алтай,Городское и сельское население,Мужчины
48,Республика Алтай,Городское и сельское население,Женщины
62,Республика Алтай,Городское население,Оба пола
34,Республика Алтай,Городское население,Мужчины
28,Республика Алтай,Городское население,Женщины
38,Республика Алтай,Сельское население,Оба пола
18,Республика Алтай,Сельское население,Мужчины
20,Республика Алтай,Сельское население,Женщины
338,Республика Бурятия,Городское и сельское население,Оба пола
175,Республика Бурятия,Городское и сельское население,Мужчины
163,Республика Бурятия,Городское и сельское население,Женщины
210,Республика Бурятия,Городское население,Оба пола
118,Республика Бурятия,Городское население,Мужчины
92,Республика Бурятия,Городское население,Женщины
128,Республика Бурятия,Сельское население,Оба пола
57,Республика Бурятия,Сельское население,Мужчины
71,Республика Бурятия,Сельское население,Женщины
201,Республика Тыва,Городское и сельское население,Оба пола
95,Республика Тыва,Городское и сельское население,Мужчины
106,Республика Тыва,Городское и сельское население,Женщины
102,Республика Тыва,Городское население,Оба пола
51,Республика Тыва,Городское население,Мужчины
51,Республика Тыва,Городское население,Женщины
99,Республика Тыва,Сельское население,Оба пола
44,Республика Тыва,Сельское население,Мужчины
55,Республика Тыва,Сельское население,Женщины
212,Республика Хакасия,Городское и сельское население,Оба пола
120,Республика Хакасия,Городское и сельское население,Мужчины
92,Республика Хакасия,Городское и сельское население,Женщины
129,Республика Хакасия,Городское население,Оба пола
73,Республика Хакасия,Городское население,Мужчины
56,Республика Хакасия,Городское население,Женщины
83,Республика Хакасия,Сельское население,Оба пола
47,Республика Хакасия,Сельское население,Мужчины
36,Республика Хакасия,Сельское население,Женщины
533,Алтайский край,Городское и сельское население,Оба пола
244,Алтайский край,Городское и сельское население,Мужчины
289,Алтайский край,Городское и сельское население,Женщины
274,Алтайский край,Городское население,Оба пола
123,Алтайский край,Городское население,Мужчины
151,Алтайский край,Городское население,Женщины
259,Алтайский край,Сельское население,Оба пола
121,Алтайский край,Сельское население,Мужчины
138,Алтайский край,Сельское население,Женщины
376,Забайкальский край ,Городское и сельское население,Оба пола
190,Забайкальский край ,Городское и сельское население,Мужчины
186,Забайкальский край ,Городское и сельское население,Женщины
220,Забайкальский край ,Городское население,Оба пола
104,Забайкальский край ,Городское население,Мужчины
116,Забайкальский край ,Городское население,Женщины
156,Забайкальский край ,Сельское население,Оба пола
86,Забайкальский край ,Сельское население,Мужчины
70,Забайкальский край ,Сельское население,Женщины
638,Красноярский край ,Городское и сельское население,Оба пола
309,Красноярский край ,Городское и сельское население,Мужчины
329,Красноярский край ,Городское и сельское население,Женщины
442,Красноярский край ,Городское население,Оба пола
213,Красноярский край ,Городское население,Мужчины
229,Красноярский край ,Городское население,Женщины
196,Красноярский край ,Сельское население,Оба пола
96,Красноярский край ,Сельское население,Мужчины
100,Красноярский край ,Сельское население,Женщины
574,Иркутская область ,Городское и сельское население,Оба пола
287,Иркутская область ,Городское и сельское население,Мужчины
287,Иркутская область ,Городское и сельское население,Женщины
385,Иркутская область ,Городское население,Оба пола
189,Иркутская область ,Городское население,Мужчины
196,Иркутская область ,Городское население,Женщины
189,Иркутская область ,Сельское население,Оба пола
98,Иркутская область ,Сельское население,Мужчины
91,Иркутская область ,Сельское население,Женщины
476,Кемеровская область,Городское и сельское население,Оба пола
255,Кемеровская область,Городское и сельское население,Мужчины
221,Кемеровская область,Городское и сельское население,Женщины
365,Кемеровская область,Городское население,Оба пола
188,Кемеровская область,Городское население,Мужчины
177,Кемеровская область,Городское население,Женщины
111,Кемеровская область,Сельское население,Оба пола
67,Кемеровская область,Сельское население,Мужчины
44,Кемеровская область,Сельское население,Женщины
510,Новосибирская область,Городское и сельское население,Оба пола
259,Новосибирская область,Городское и сельское население,Мужчины
251,Новосибирская область,Городское и сельское население,Женщины
353,Новосибирская область,Городское население,Оба пола
177,Новосибирская область,Городское население,Мужчины
176,Новосибирская область,Городское население,Женщины
157,Новосибирская область,Сельское население,Оба пола
82,Новосибирская область,Сельское население,Мужчины
75,Новосибирская область,Сельское население,Женщины
480,Омская область,Городское и сельское население,Оба пола
231,Омская область,Городское и сельское население,Мужчины
249,Омская область,Городское и сельское население,Женщины
311,Омская область,Городское население,Оба пола
148,Омская область,Городское население,Мужчины
163,Омская область,Городское население,Женщины
169,Омская область,Сельское население,Оба пола
83,Омская область,Сельское население,Мужчины
86,Омская область,Сельское население,Женщины
370,Томская область,Городское и сельское население,Оба пола
179,Томская область,Городское и сельское население,Мужчины
191,Томская область,Городское и сельское население,Женщины
271,Томская область,Городское население,Оба пола
128,Томская область,Городское население,Мужчины
143,Томская область,Городское население,Женщины
99,Томская область,Сельское население,Оба пола
51,Томская область,Сельское население,Мужчины
48,Томская область,Сельское население,Женщины
2150,Дальневосточный федеральный округ,Городское и сельское население,Оба пола
1088,Дальневосточный федеральный округ,Городское и сельское население,Мужчины
1062,Дальневосточный федеральный округ,Городское и сельское население,Женщины
1371,Дальневосточный федеральный округ,Городское население,Оба пола
674,Дальневосточный федеральный округ,Городское население,Мужчины
697,Дальневосточный федеральный округ,Городское население,Женщины
779,Дальневосточный федеральный округ,Сельское население,Оба пола
414,Дальневосточный федеральный округ,Сельское население,Мужчины
365,Дальневосточный федеральный округ,Сельское население,Женщины
297,Республика Саха (Якутия),Городское и сельское население,Оба пола
147,Республика Саха (Якутия),Городское и сельское население,Мужчины
150,Республика Саха (Якутия),Городское и сельское население,Женщины
174,Республика Саха (Якутия),Городское население,Оба пола
84,Республика Саха (Якутия),Городское население,Мужчины
90,Республика Саха (Якутия),Городское население,Женщины
123,Республика Саха (Якутия),Сельское население,Оба пола
63,Республика Саха (Якутия),Сельское население,Мужчины
60,Республика Саха (Якутия),Сельское население,Женщины
190,Камчатский край ,Городское и сельское население,Оба пола
99,Камчатский край ,Городское и сельское население,Мужчины
91,Камчатский край ,Городское и сельское население,Женщины
133,Камчатский край ,Городское население,Оба пола
69,Камчатский край ,Городское население,Мужчины
64,Камчатский край ,Городское население,Женщины
57,Камчатский край ,Сельское население,Оба пола
30,Камчатский край ,Сельское население,Мужчины
27,Камчатский край ,Сельское население,Женщины
429,Приморский край,Городское и сельское население,Оба пола
203,Приморский край,Городское и сельское население,Мужчины
226,Приморский край,Городское и сельское население,Женщины
298,Приморский край,Городское население,Оба пола
126,Приморский край,Городское население,Мужчины
172,Приморский край,Городское население,Женщины
131,Приморский край,Сельское население,Оба пола
77,Приморский край,Сельское население,Мужчины
54,Приморский край,Сельское население,Женщины
372,Хабаровский край,Городское и сельское население,Оба пола
200,Хабаровский край,Городское и сельское население,Мужчины
172,Хабаровский край,Городское и сельское население,Женщины
232,Хабаровский край,Городское население,Оба пола
127,Хабаровский край,Городское население,Мужчины
105,Хабаровский край,Городское население,Женщины
140,Хабаровский край,Сельское население,Оба пола
73,Хабаровский край,Сельское население,Мужчины
67,Хабаровский край,Сельское население,Женщины
278,Амурская область,Городское и сельское население,Оба пола
140,Амурская область,Городское и сельское население,Мужчины
138,Амурская область,Городское и сельское население,Женщины
150,Амурская область,Городское население,Оба пола
76,Амурская область,Городское население,Мужчины
74,Амурская область,Городское население,Женщины
128,Амурская область,Сельское население,Оба пола
64,Амурская область,Сельское население,Мужчины
64,Амурская область,Сельское население,Женщины
128,Магаданская область,Городское и сельское население,Оба пола
65,Магаданская область,Городское и сельское население,Мужчины
63,Магаданская область,Городское и сельское население,Женщины
120,Магаданская область,Городское население,Оба пола
60,Магаданская область,Городское население,Мужчины
60,Магаданская область,Городское население,Женщины
8,Магаданская область,Сельское население,Оба пола
5,Магаданская область,Сельское население,Мужчины
3,Магаданская область,Сельское население,Женщины
234,Сахалинская область,Городское и сельское население,Оба пола
127,Сахалинская область,Городское и сельское население,Мужчины
107,Сахалинская область,Городское и сельское население,Женщины
135,Сахалинская область,Городское население,Оба пола
68,Сахалинская область,Городское население,Мужчины
67,Сахалинская область,Городское население,Женщины
99,Сахалинская область,Сельское население,Оба пола
59,Сахалинская область,Сельское население,Мужчины
40,Сахалинская область,Сельское население,Женщины
140,Еврейская автономная область,Городское и сельское население,Оба пола
69,Еврейская автономная область,Городское и сельское население,Мужчины
71,Еврейская автономная область,Городское и сельское население,Женщины
95,Еврейская автономная область,Городское население,Оба пола
47,Еврейская автономная область,Городское население,Мужчины
48,Еврейская автономная область,Городское население,Женщины
45,Еврейская автономная область,Сельское население,Оба пола
22,Еврейская автономная область,Сельское население,Мужчины
23,Еврейская автономная область,Сельское население,Женщины
82,Чукотский автономный округ,Городское и сельское население,Оба пола
38,Чукотский автономный округ,Городское и сельское население,Мужчины
44,Чукотский автономный округ,Городское и сельское население,Женщины
34,Чукотский автономный округ,Городское население,Оба пола
17,Чукотский автономный округ,Городское население,Мужчины
17,Чукотский автономный округ,Городское население,Женщины
48,Чукотский автономный округ,Сельское население,Оба пола
21,Чукотский автономный округ,Сельское население,Мужчины
27,Чукотский автономный округ,Сельское население,Женщины
